ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,evolutionary_group
GO:0032930,positive regulation of superoxide anion generation,2/62,20/18860,0.1,30.419354838709676,7.559743242554318,0.0019446784601438198,0.04045835135184838,0.02861083678679467,GNAI2/SYK,2,Unicellular
GO:2000318,positive regulation of T-helper 17 type immune response,2/62,20/18860,0.1,30.419354838709676,7.559743242554318,0.0019446784601438198,0.04045835135184838,0.02861083678679467,TYK2/EP300,2,Unicellular
GO:0045786,negative regulation of cell cycle,6/62,399/18860,0.015037593984962405,4.574339073490177,4.144326260835292,0.001954932585238651,0.04045835135184838,0.02861083678679467,GATA3/FOXO4/PTEN/CDKN2A/NAA10/KLF4,6,Unicellular
GO:1903037,regulation of leukocyte cell-cell adhesion,6/62,401/18860,0.014962593516209476,4.551524414769528,4.1284046479832135,0.002004661312073115,0.04045835135184838,0.02861083678679467,GATA3/SYK/TYK2/EP300/CDKN2A/KLF4,6,Unicellular
GO:0006801,superoxide metabolic process,3/62,76/18860,0.039473684210526314,12.007640067911714,5.522126219714026,0.0020049486878428837,0.04045835135184838,0.02861083678679467,GNAI2/SYK/NOS2,3,Unicellular
GO:0046635,positive regulation of alpha-beta T cell activation,3/62,76/18860,0.039473684210526314,12.007640067911714,5.522126219714026,0.0020049486878428837,0.04045835135184838,0.02861083678679467,SYK/TYK2/EP300,3,Unicellular
GO:0031647,regulation of protein stability,6/62,404/18860,0.01485148514851485,4.517725966145002,4.104717271022957,0.002081048294745873,0.04052086415863599,0.028655043820752395,GSN/PFN1/SENP2/EP300/PTEN/CDKN2A,6,Unicellular
GO:0003281,ventricular septum development,3/62,77/18860,0.03896103896103896,11.851696690406367,5.479739110017351,0.002081377158946004,0.04052086415863599,0.028655043820752395,SOX11/GATA3/SLIT2,3,Unicellular
GO:0044843,cell cycle G1/S phase transition,5/62,275/18860,0.01818181818181818,5.5307917888563045,4.346688532081285,0.002088094552356039,0.04052086415863599,0.028655043820752395,SENP2/RRM1/PTEN/CDKN2A/KLF4,5,Unicellular
GO:0018198,peptidyl-cysteine modification,2/62,21/18860,0.09523809523809523,28.970814132104454,7.365210845854021,0.0021448410247129875,0.04052086415863599,0.028655043820752395,ZDHHC2/NOS2,2,Unicellular
GO:0072567,chemokine (C-X-C motif) ligand 2 production,2/62,21/18860,0.09523809523809523,28.970814132104454,7.365210845854021,0.0021448410247129875,0.04052086415863599,0.028655043820752395,POSTN/KLF4,2,Unicellular
GO:2000341,regulation of chemokine (C-X-C motif) ligand 2 production,2/62,21/18860,0.09523809523809523,28.970814132104454,7.365210845854021,0.0021448410247129875,0.04052086415863599,0.028655043820752395,POSTN/KLF4,2,Unicellular
GO:0031397,negative regulation of protein ubiquitination,3/62,78/18860,0.038461538461538464,11.699751861042184,5.4381282011810645,0.00215959724828635,0.04052086415863599,0.028655043820752395,SENP2/IVNS1ABP/CDKN2A,3,Unicellular
GO:0035019,somatic stem cell population maintenance,3/62,78/18860,0.038461538461538464,11.699751861042184,5.4381282011810645,0.00215959724828635,0.04052086415863599,0.028655043820752395,CDKN2A/KLF10/KLF4,3,Unicellular
