Process,clade_name,k,M,N,n,p.val,p.adj,p.val_color,root
cellular extravasation,Ambulacraria,0,5,515,15,1,1,gray,23
cellular extravasation,Ecdysozoa,0,5,515,17,1,1,gray,24
cellular extravasation,Spiralia,0,5,515,4,1,1,gray,25
cellular extravasation,Cnidaria,0,5,515,6,1,1,gray,26
cellular extravasation,Placozoa,0,5,515,4,1,1,gray,27
cellular extravasation,Porifera,0,5,515,14,1,1,gray,28
cellular extravasation,Ctenophora,0,5,515,35,1,1,gray,29
cellular extravasation,Fungi,0,5,515,8,1,1,gray,31
cellular extravasation,Amoebozoa,0,5,515,15,1,1,gray,32
cellular extravasation,Viridiplantae,0,5,515,10,1,1,gray,33
cellular extravasation,Discoba,0,5,515,17,1,1,gray,34
cellular extravasation,Rhodophyta,0,5,515,2,1,1,gray,35
cellular extravasation,SAR,0,5,515,38,1,1,gray,36
cellular extravasation,Metamonada,0,5,515,101,1,1,gray,37
