Process,clade_name,k,M,N,n,p.val,p.adj,p.val_color,root
extracellular matrix organization,Amoebozoa,0,57,686,19,1,1,gray,32
epithelial to mesenchymal transition,Ponginae,0,65,686,1,1,1,gray,4
epithelial to mesenchymal transition,Platyrrhini,0,65,686,1,1,1,gray,7
epithelial to mesenchymal transition,Dermoptera,0,65,686,1,1,1,gray,10
epithelial to mesenchymal transition,Afrotheria,0,65,686,10,1,1,gray,14
epithelial to mesenchymal transition,Metatheria,0,65,686,7,1,1,gray,15
epithelial to mesenchymal transition,Prototheria,0,65,686,4,1,1,gray,16
epithelial to mesenchymal transition,Amphibia,0,65,686,8,1,1,gray,18
epithelial to mesenchymal transition,Ambulacraria,0,65,686,18,1,1,gray,23
epithelial to mesenchymal transition,Spiralia,0,65,686,5,1,1,gray,25
epithelial to mesenchymal transition,Placozoa,0,65,686,4,1,1,gray,27
regulation of metallopeptidase activity,Ponginae,0,3,686,1,1,1,gray,4
regulation of metallopeptidase activity,Platyrrhini,0,3,686,1,1,1,gray,7
regulation of metallopeptidase activity,Dermoptera,0,3,686,1,1,1,gray,10
regulation of metallopeptidase activity,Afrotheria,0,3,686,10,1,1,gray,14
regulation of metallopeptidase activity,Prototheria,0,3,686,4,1,1,gray,16
regulation of metallopeptidase activity,Sauropsida,0,3,686,16,1,1,gray,17
regulation of metallopeptidase activity,Amphibia,0,3,686,8,1,1,gray,18
regulation of metallopeptidase activity,Coelacanthimorpha,0,3,686,6,1,1,gray,19
regulation of metallopeptidase activity,Actinopterygii,0,3,686,96,1,1,gray,20
regulation of metallopeptidase activity,Tunicata,0,3,686,17,1,1,gray,21
regulation of metallopeptidase activity,Cephalochordata,0,3,686,11,1,1,gray,22
regulation of metallopeptidase activity,Ambulacraria,0,3,686,18,1,1,gray,23
regulation of metallopeptidase activity,Ecdysozoa,0,3,686,23,1,1,gray,24
regulation of metallopeptidase activity,Spiralia,0,3,686,5,1,1,gray,25
regulation of metallopeptidase activity,Cnidaria,0,3,686,10,1,1,gray,26
regulation of metallopeptidase activity,Placozoa,0,3,686,4,1,1,gray,27
regulation of metallopeptidase activity,Ctenophora,0,3,686,50,1,1,gray,29
regulation of metallopeptidase activity,Choanoflagellata,0,3,686,123,1,1,gray,30
regulation of metallopeptidase activity,Fungi,0,3,686,11,1,1,gray,31
regulation of metallopeptidase activity,Amoebozoa,0,3,686,19,1,1,gray,32
regulation of metallopeptidase activity,Viridiplantae,0,3,686,12,1,1,gray,33
regulation of metallopeptidase activity,Discoba,0,3,686,25,1,1,gray,34
regulation of metallopeptidase activity,Rhodophyta,0,3,686,3,1,1,gray,35
regulation of metallopeptidase activity,SAR,0,3,686,46,1,1,gray,36
regulation of metallopeptidase activity,Metamonada,0,3,686,138,1,1,gray,37
cell junction organization,Ponginae,0,171,686,1,1,1,gray,4
cell junction organization,Platyrrhini,0,171,686,1,1,1,gray,7
cell junction organization,Dermoptera,0,171,686,1,1,1,gray,10
cell junction organization,Afrotheria,0,171,686,10,1,1,gray,14
cell junction organization,Sauropsida,0,171,686,16,1,1,gray,17
cell junction organization,Amphibia,0,171,686,8,1,1,gray,18
cell junction organization,Coelacanthimorpha,0,171,686,6,1,1,gray,19
cell junction organization,Placozoa,0,171,686,4,1,1,gray,27
cell junction organization,Viridiplantae,0,171,686,12,1,1,gray,33
cell junction organization,Rhodophyta,0,171,686,3,1,1,gray,35
cellular extravasation,Ponginae,0,38,686,1,1,1,gray,4
cellular extravasation,Platyrrhini,0,38,686,1,1,1,gray,7
cellular extravasation,Amphibia,0,38,686,8,1,1,gray,18
cellular extravasation,Coelacanthimorpha,0,38,686,6,1,1,gray,19
cellular extravasation,Tunicata,0,38,686,17,1,1,gray,21
cellular extravasation,Cephalochordata,0,38,686,11,1,1,gray,22
cellular extravasation,Ambulacraria,0,38,686,18,1,1,gray,23
cellular extravasation,Spiralia,0,38,686,5,1,1,gray,25
cellular extravasation,Cnidaria,0,38,686,10,1,1,gray,26
cellular extravasation,Placozoa,0,38,686,4,1,1,gray,27
cellular extravasation,Porifera,0,38,686,21,1,1,gray,28
cellular extravasation,Ctenophora,0,38,686,50,1,1,gray,29
cellular extravasation,Amoebozoa,0,38,686,19,1,1,gray,32
cellular extravasation,Viridiplantae,0,38,686,12,1,1,gray,33
cellular extravasation,Rhodophyta,0,38,686,3,1,1,gray,35
metastasis suppressor,Ponginae,0,35,686,1,1,1,gray,4
metastasis suppressor,Platyrrhini,0,35,686,1,1,1,gray,7
metastasis suppressor,Dermoptera,0,35,686,1,1,1,gray,10
metastasis suppressor,Afrotheria,0,35,686,10,1,1,gray,14
metastasis suppressor,Metatheria,0,35,686,7,1,1,gray,15
metastasis suppressor,Prototheria,0,35,686,4,1,1,gray,16
metastasis suppressor,Sauropsida,0,35,686,16,1,1,gray,17
metastasis suppressor,Coelacanthimorpha,0,35,686,6,1,1,gray,19
metastasis suppressor,Cephalochordata,0,35,686,11,1,1,gray,22
metastasis suppressor,Ambulacraria,0,35,686,18,1,1,gray,23
metastasis suppressor,Spiralia,0,35,686,5,1,1,gray,25
metastasis suppressor,Cnidaria,0,35,686,10,1,1,gray,26
metastasis suppressor,Placozoa,0,35,686,4,1,1,gray,27
metastasis suppressor,Fungi,0,35,686,11,1,1,gray,31
metastasis suppressor,Amoebozoa,0,35,686,19,1,1,gray,32
epithelial to mesenchymal transition,Ctenophora,15,65,686,50,1.5338145179955e-5,0.002898909439011495,red,29
