Root,Dscore,Statistic,Pvalue,AdjPvalue
28,0.8773,8.475,1.17e-17,8.07e-15
28,0.9282,8.375,2.76e-17,1.9e-14
28,0.931,8.332,3.97e-17,2.73e-14
28,0.8605,8.303,5.08e-17,3.49e-14
28,0.8943,8.29,5.66e-17,3.9e-14
28,0.8943,8.095,2.86e-16,1.97e-13
28,0.8733,8.081,3.22e-16,2.21e-13
28,0.9276,8.079,3.27e-16,2.25e-13
28,0.8645,7.996,6.44e-16,4.43e-13
28,0.8645,7.944,9.8e-16,6.74e-13
28,0.8703,7.926,1.13e-15,7.76e-13
28,0.8645,7.882,1.61e-15,1.11e-12
28,0.853,7.789,3.39e-15,2.33e-12
28,0.8142,7.765,4.08e-15,2.81e-12
28,0.8645,7.714,6.11e-15,4.2e-12
28,0.8238,7.474,3.88e-14,2.67e-11
28,0.8142,7.4,6.79e-14,4.67e-11
29,1,8.824,5.52e-19,3.8e-16
29,0.9964,8.774,8.59e-19,5.91e-16
29,0.9994,8.764,9.41e-19,6.47e-16
29,1,8.719,1.4e-18,9.66e-16
29,0.9962,8.696,1.72e-18,1.19e-15
29,1,8.63,3.06e-18,2.1e-15
29,0.9964,8.626,3.19e-18,2.19e-15
29,0.9817,8.617,3.44e-18,2.37e-15
29,1,8.609,3.68e-18,2.53e-15
29,1,8.607,3.75e-18,2.58e-15
29,1,8.605,3.81e-18,2.62e-15
29,0.9964,8.586,4.5e-18,3.09e-15
29,0.9632,8.573,5.02e-18,3.46e-15
29,1,8.57,5.19e-18,3.57e-15
29,1,8.568,5.28e-18,3.64e-15
29,1,8.551,6.08e-18,4.19e-15
29,1,8.541,6.66e-18,4.58e-15
29,1,8.531,7.23e-18,4.98e-15
29,0.997,8.524,7.7e-18,5.3e-15
29,1,8.491,1.03e-17,7.06e-15
29,0.9728,8.475,1.18e-17,8.09e-15
29,1,8.456,1.38e-17,9.51e-15
29,0.9962,8.446,1.51e-17,1.04e-14
29,0.997,8.425,1.81e-17,1.25e-14
29,1,8.413,1.99e-17,1.37e-14
29,1,8.409,2.06e-17,1.42e-14
29,1,8.39,2.44e-17,1.68e-14
29,0.9629,8.387,2.49e-17,1.72e-14
29,0.9962,8.387,2.5e-17,1.72e-14
29,1,8.354,3.31e-17,2.28e-14
29,1,8.349,3.43e-17,2.36e-14
29,0.8521,8.345,3.56e-17,2.45e-14
29,0.9962,8.339,3.76e-17,2.59e-14
29,1,8.31,4.77e-17,3.28e-14
29,0.9644,8.296,5.4e-17,3.72e-14
29,0.8725,8.294,5.47e-17,3.76e-14
29,0.9181,8.181,1.41e-16,9.68e-14
29,0.9425,8.175,1.47e-16,1.01e-13
29,1,8.174,1.49e-16,1.03e-13
29,0.9188,8.167,1.58e-16,1.08e-13
29,1,8.165,1.61e-16,1.11e-13
29,1,8.061,3.79e-16,2.61e-13
29,0.8476,8.058,3.88e-16,2.67e-13
29,0.8871,8.052,4.08e-16,2.81e-13
29,0.9198,7.916,1.23e-15,8.44e-13
29,0.8748,7.862,1.89e-15,1.3e-12
29,0.9181,7.81,2.86e-15,1.97e-12
29,0.8593,7.785,3.48e-15,2.39e-12
29,0.8721,7.652,9.88e-15,6.8e-12
29,0.8026,7.601,1.47e-14,1.01e-11
30,0.9631,8.841,4.73e-19,3.25e-16
30,0.9718,8.822,5.61e-19,3.86e-16
30,0.9588,8.77,8.94e-19,6.15e-16
30,0.9459,8.732,1.25e-18,8.62e-16
30,0.9718,8.699,1.67e-18,1.15e-15
30,0.9265,8.684,1.91e-18,1.31e-15
30,0.9647,8.661,2.35e-18,1.61e-15
30,0.9663,8.627,3.16e-18,2.18e-15
30,0.9914,8.605,3.82e-18,2.63e-15
30,0.959,8.583,4.63e-18,3.18e-15
30,0.9718,8.58,4.75e-18,3.27e-15
30,0.9459,8.556,5.85e-18,4.03e-15
30,0.9839,8.548,6.28e-18,4.32e-15
30,0.9459,8.526,7.55e-18,5.19e-15
30,0.9035,8.515,8.3e-18,5.71e-15
30,0.9278,8.501,9.4e-18,6.47e-15
30,0.9459,8.496,9.77e-18,6.72e-15
30,0.9035,8.489,1.04e-17,7.16e-15
30,0.894,8.479,1.13e-17,7.8e-15
30,0.984,8.471,1.22e-17,8.37e-15
30,0.9494,8.461,1.32e-17,9.08e-15
30,0.894,8.432,1.7e-17,1.17e-14
30,0.9745,8.431,1.71e-17,1.18e-14
30,0.9151,8.417,1.93e-17,1.33e-14
30,0.9718,8.417,1.94e-17,1.33e-14
30,0.8914,8.416,1.95e-17,1.34e-14
30,0.9278,8.415,1.96e-17,1.35e-14
30,0.913,8.412,2.01e-17,1.38e-14
30,0.9959,8.404,2.16e-17,1.49e-14
30,0.9278,8.397,2.3e-17,1.58e-14
30,0.9035,8.381,2.63e-17,1.81e-14
30,0.947,8.379,2.66e-17,1.83e-14
30,0.947,8.379,2.67e-17,1.83e-14
30,0.9143,8.376,2.74e-17,1.88e-14
30,0.9631,8.375,2.75e-17,1.89e-14
30,0.9718,8.367,2.94e-17,2.03e-14
30,0.984,8.362,3.1e-17,2.13e-14
